"REF_DATE","GEO","DGUID","Population and dwelling counts (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Population, 2021","","0","units","0","","1.1","36991981","","","","0"
"2021","Canada","2021A000011124","Total private dwellings, 2021","","0","units","0","","1.2","16284235","","","","0"
"2021","Canada","2021A000011124","Private dwellings occupied by usual residents, 2021","","0","units","0","","1.3","14978941","","","","0"
"2021","A0A","2021A0011A0A","Population, 2021","","0","units","0","","2.1","44930","","","","0"
"2021","A0A","2021A0011A0A","Total private dwellings, 2021","","0","units","0","","2.2","26102","","","","0"
"2021","A0A","2021A0011A0A","Private dwellings occupied by usual residents, 2021","","0","units","0","","2.3","19752","","","","0"
"2021","A0B","2021A0011A0B","Population, 2021","","0","units","0","","3.1","19287","","","","0"
"2021","A0B","2021A0011A0B","Total private dwellings, 2021","","0","units","0","","3.2","13265","","","","0"
"2021","A0B","2021A0011A0B","Private dwellings occupied by usual residents, 2021","","0","units","0","","3.3","9100","","","","0"
"2021","A0C","2021A0011A0C","Population, 2021","","0","units","0","","4.1","11972","","","","0"
"2021","A0C","2021A0011A0C","Total private dwellings, 2021","","0","units","0","","4.2","8069","","","","0"
"2021","A0C","2021A0011A0C","Private dwellings occupied by usual residents, 2021","","0","units","0","","4.3","5610","","","","0"
"2021","A0E","2021A0011A0E","Population, 2021","","0","units","0","","5.1","21209","","","","0"
"2021","A0E","2021A0011A0E","Total private dwellings, 2021","","0","units","0","","5.2","12623","","","","0"
"2021","A0E","2021A0011A0E","Private dwellings occupied by usual residents, 2021","","0","units","0","","5.3","9741","","","","0"
"2021","A0G","2021A0011A0G","Population, 2021","","0","units","0","","6.1","33316","","","","0"
"2021","A0G","2021A0011A0G","Total private dwellings, 2021","","0","units","0","","6.2","21177","","","","0"
"2021","A0G","2021A0011A0G","Private dwellings occupied by usual residents, 2021","","0","units","0","","6.3","14992","","","","0"
"2021","A0H","2021A0011A0H","Population, 2021","","0","units","0","","7.1","16743","","","","0"
"2021","A0H","2021A0011A0H","Total private dwellings, 2021","","0","units","0","","7.2","10841","","","","0"
"2021","A0H","2021A0011A0H","Private dwellings occupied by usual residents, 2021","","0","units","0","","7.3","7605","","","","0"
"2021","A0J","2021A0011A0J","Population, 2021","","0","units","0","","8.1","7497","","","","0"
"2021","A0J","2021A0011A0J","Total private dwellings, 2021","","0","units","0","","8.2","4696","","","","0"
"2021","A0J","2021A0011A0J","Private dwellings occupied by usual residents, 2021","","0","units","0","","8.3","3430","","","","0"
"2021","A0K","2021A0011A0K","Population, 2021","","0","units","0","","9.1","24659","","","","0"
"2021","A0K","2021A0011A0K","Total private dwellings, 2021","","0","units","0","","9.2","14914","","","","0"
