PCODE,A
A0G,1
B4E,1
H2J,1
H4C,1
H9J,1
H9R,1
J0J,1
J0K,1
J0X,6
J2G,1
J4K,1
J4Z,2
J5M,1
J6N,1
J7W,1
J7Z,1
J8C,1
J8H,1
J8L,1
J8M,1
J8N,4
J8P,5
J8R,1
J8T,6
J8V,3
J8X,1
J8Y,6
J8Z,1
J9A,5
J9B,2
J9E,1
J9H,12
J9J,10
K0A,200
K0B,3
K0C,20
K0E,10
K0G,38
K0H,5
K0J,2
K0K,2
K0L,2
K17,1
K19,1
K1A,3
K1B,31
K1C,82
K1E,38
K1G,82
K1H,50
K1J,64
K1K,73
K1L,43
K1M,24
K1N,62
K1P,3
K1R,50
K1S,81
K1T,84
K1V,130
K1W,18
K1X,8
K1Y,63
K1Z,60
K2A,48
K2B,90
K2C,91
K2E,51
K2G,119
K2H,77
K2J,146
K2K,57
K2L,62
K2M,43
K2P,48
K2R,1
K2S,103
K2T,19
K2V,14
K2W,16
K3C,1
K4A,100
K4B,5
K4C,6
K4K,21
K4M,29
K4P,24
K4R,10
K6H,4
K6J,1
K6T,1
K6V,2
K7A,7
K7C,12
K7H,3
K7K,1
K7M,2
K7S,10
K7V,5
K8A,5
K8H,1
K8N,1
KA4,1
KIV,1
KIZ,1
KOA,2
KOC,1
KOE,1
L0C,1
L0E,1
L0M,1
L0R,1
L1B,1
L1C,1
L1H,1
L2H,1
L3B,1
L3V,2
L4N,1
L4Z,1
L6T,1
L7P,1
L8E,1
L9A,1
L9P,1
L9Z,1
M1C,1
M1K,1
M1T,1
M8Y,1
N0J,1
N0N,1
N2L,1
N2T,1
N3W,1
N5A,1
P0M,1
P0R,1
P1A,1
P1B,1
P1H,1
P3B,2
P6A,1
PRE,1
R0L,1
